Done,Name,Alternative name,Category,Variation,Encoding Shapes,Layout,comparison,composition,distribution,relationship,,Dimensions,Numeric,Ordinal,Color numeric scale,Graph links,Hierarchy,Range
FALSE,Isoline,,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Mind Map,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Packed Circle,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Violin,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Boxplot,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,TRUE
FALSE,Parallel Sets,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Proportional Area,,chart,nested,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Hanging Rootogram,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Stacked Area,,chart,,,,FALSE,FALSE,FALSE,FALSE,,3,1,2,FALSE,FALSE,FALSE,FALSE
FALSE,Gantt,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Sequence,,diagram,timeline,-,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Radar,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Population Pyramid,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,3d Stream,,graph,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pictorial Unit,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Linear Process,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Dot,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Scatter,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Parallel Coordinates,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Waterfall,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Angular Gauge,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Histogram,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Cycle,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Convex Treemap,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Semi-circle Donut,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Sociogram,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,SWOT Analysis,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
